Date,BC-US net actual flow,BC-AB net actual flow
2020-03-23 14:20:00,-862.9301147460938,155.32481384277344
2020-03-23 14:25:00,-867.1923828125,118.7443618774414
2020-03-23 14:30:00,-898.08984375,131.50509643554688
2020-03-23 14:35:00,-882.067138671875,181.98553466796875
2020-03-23 14:40:00,-990.5316162109375,167.1443634033203
2020-03-23 14:45:00,-927.731201171875,166.884521484375
2020-03-23 14:50:00,-967.0872802734375,204.04454040527344
2020-03-23 14:55:00,-1035.317626953125,184.22412109375
2020-03-23 15:00:00,-947.62353515625,202.22463989257812
2020-03-23 15:05:00,-1052.66162109375,227.86495971679688
2020-03-23 15:10:00,-1030.1630859375,232.3450469970703
2020-03-23 15:15:00,-980.63818359375,241.785888671875
2020-03-23 15:20:00,-1013.7909545898438,275.54541015625
2020-03-23 15:25:00,-1006.449951171875,242.18467712402344
2020-03-23 15:30:00,-1021.44189453125,255.72482299804688
2020-03-23 15:35:00,-1017.0191650390625,270.32568359375
2020-03-23 15:40:00,-997.8074340820312,260.7853698730469
2020-03-23 15:45:00,-1050.930908203125,280.20526123046875
2020-03-23 15:50:00,-937.8923950195312,247.22482299804688
2020-03-23 15:55:00,-969.3451538085938,262.725341796875
2020-03-23 16:00:00,-1017.1634521484375,247.26547241210938
2020-03-23 16:05:00,-827.8099975585938,213.78451538085938
2020-03-23 16:10:00,-814.7067260742188,231.30458068847656
2020-03-23 16:15:00,-852.5594482421875,245.1051025390625
2020-03-23 16:20:00,-755.04736328125,205.9044189453125
2020-03-23 16:25:00,-754.3030395507812,202.6644287109375
2020-03-23 16:30:00,-754.65869140625,196.90475463867188
2020-03-23 16:35:00,-820.5360107421875,210.96597290039062
2020-03-23 16:40:00,-785.9554443359375,219.5458984375
2020-03-23 16:45:00,-791.8619995117188,219.72671508789062
2020-03-23 16:50:00,-705.60888671875,252.48655700683594
2020-03-23 16:55:00,-520.9569091796875,202.36598205566406
2020-03-23 17:00:00,-650.7117919921875,239.2069854736328
2020-03-23 17:05:00,-766.0550537109375,185.92584228515625
2020-03-23 17:10:00,-865.8898315429688,212.80545043945312
2020-03-23 17:15:00,-946.3579711914062,263.2664794921875
2020-03-23 17:20:00,-949.7864990234375,268.22601318359375
2020-03-23 17:25:00,-1012.1920166015625,260.80645751953125
2020-03-23 17:30:00,-1030.8822021484375,267.2858581542969
2020-03-23 17:35:00,-1090.425048828125,293.62567138671875
2020-03-23 17:40:00,-1088.6019287109375,296.9661560058594
2020-03-23 17:45:00,-1067.60009765625,277.0459289550781
2020-03-23 17:50:00,-1066.7392578125,288.1659851074219
2020-03-23 17:55:00,-722.51953125,314.8460998535156
2020-03-23 18:00:00,-417.64404296875,251.865966796875
2020-03-23 18:05:00,-135.22866821289062,231.72601318359375
2020-03-23 18:10:00,-71.77115631103516,226.04624938964844
2020-03-23 18:15:00,8.873529434204102,237.22686767578125
2020-03-23 18:20:00,158.18414306640625,263.3474426269531
2020-03-23 18:25:00,63.283782958984375,236.20645141601562
2020-03-23 18:30:00,98.96437072753906,243.80712890625
2020-03-23 18:35:00,158.6105194091797,186.865966796875
2020-03-23 18:40:00,105.74459075927734,209.5050811767578
2020-03-23 18:45:00,96.16070556640625,227.76597595214844
2020-03-23 18:50:00,150.65264892578125,275.2855529785156
2020-03-23 18:55:00,168.14459228515625,275.9452209472656
2020-03-23 19:00:00,145.3988037109375,252.5249786376953
2020-03-23 19:05:00,238.5797576904297,299.40594482421875
2020-03-23 19:10:00,364.69879150390625,291.5853576660156
2020-03-23 19:15:00,336.431396484375,296.0248107910156
2020-03-23 19:20:00,364.7299499511719,299.48468017578125
2020-03-23 19:25:00,453.57318115234375,282.88519287109375
2020-03-23 19:30:00,467.897705078125,257.5445556640625
2020-03-23 19:35:00,469.65924072265625,248.5241241455078
2020-03-23 19:40:00,469.7705993652344,236.28347778320312
2020-03-23 19:45:00,400.21453857421875,269.104248046875
2020-03-23 19:50:00,380.9914855957031,268.44439697265625
2020-03-23 19:55:00,332.9691467285156,287.8649597167969
2020-03-23 20:00:00,370.2643737792969,249.9634246826172
2020-03-23 20:05:00,341.5141906738281,247.76339721679688
2020-03-23 20:10:00,308.16986083984375,281.2040710449219
2020-03-23 20:15:00,285.356689453125,261.5431823730469
2020-03-23 20:20:00,292.5713195800781,222.30337524414062
2020-03-23 20:25:00,339.394775390625,172.36325073242188
2020-03-23 20:30:00,412.0288391113281,143.9429931640625
2020-03-23 20:35:00,435.71746826171875,157.38330078125
2020-03-23 20:40:00,426.7043151855469,153.58349609375
2020-03-23 20:45:00,452.59149169921875,130.54318237304688
2020-03-23 20:50:00,430.3585205078125,138.1033935546875
2020-03-23 20:55:00,369.4662170410156,205.78451538085938
2020-03-23 21:00:00,213.82774353027344,207.74420166015625
2020-03-23 21:05:00,130.13214111328125,233.60423278808594
2020-03-23 21:10:00,109.8108901977539,224.16476440429688
2020-03-23 21:15:00,-45.02281188964844,210.94436645507812
2020-03-23 21:20:00,-97.55906677246094,208.9445343017578
2020-03-23 21:25:00,-41.978485107421875,218.42413330078125
2020-03-23 21:30:00,5.118581771850586,192.604248046875
2020-03-23 21:35:00,38.013816833496094,189.84454345703125
2020-03-23 21:40:00,13.888912200927734,243.744873046875
2020-03-23 21:45:00,6.126640319824219,283.2447204589844
2020-03-23 21:50:00,74.8958740234375,232.263916015625
2020-03-23 21:55:00,-30.394969940185547,243.86427307128906
2020-03-23 22:00:00,-24.548816680908203,262.4044189453125
2020-03-23 22:05:00,26.46290397644043,276.1642761230469
2020-03-23 22:10:00,150.01565551757812,224.60354614257812
2020-03-23 22:15:00,205.79661560058594,159.062744140625
2020-03-23 22:20:00,165.369873046875,120.78246307373047
2020-03-23 22:25:00,15.64422607421875,189.92311096191406
2020-03-23 22:30:00,41.19001007080078,64.26136016845703
2020-03-23 22:35:00,20.893310546875,121.30236053466797
